first_name,last_name,state,district,gender,population,num_uninsured,num_deaths,medicaid_expansion_state,swing_left_district,freedom_caucus_member,percent_vote_2016,percent_vote_clinton,percent_vote_trump,president_vote_margin,twitter_link,facebook_link,twitter_handle,phone_number,pre_exist_prem,,Junior Senator Name,Senior Senator Name,Quotes on AHCA/Health Care (link out to page),Local stories (link out to page),Local groups (link out to page),Anecdotes (link out to page),,,
Warren,Davidson,OH,8,M,,31800,301,Y,N,Y,,30.6,65.1,-34.5,https://twitter.com/warrendavidson,,warrendavidson,202-225-6205,25907,,,,,,,,3991,306600,
Bob,Gibbs,OH,7,M,,30700,291,Y,N,N,,32.8,62.5,-29.7,https://twitter.com/RepBobGibbs,,RepBobGibbs,202-225-6265,25907,,,,,,,,,,
Bill,Johnson,OH,6,M,,34400,326,Y,N,N,,26.7,69.3,-42.6,https://twitter.com/repbilljohnson,,repbilljohnson,202-225-5705,25907,,,,,,,,5218,289000,
Jim,Jordan,OH,4,M,,31900,302,Y,N,Y,,30.7,64.3,-33.6,https://twitter.com/Jim_Jordan,,Jim_Jordan,202-225-2676,25907,,,,,,,,,,
Bob,Latta,OH,5,M,,28700,272,Y,N,N,,34.6,59.7,-25.1,https://twitter.com/boblatta,,boblatta,202-225-6405,25907,,,,,,,,3561,327300,
James,Renacci,OH,16,M,,23600,224,Y,N,N,,39.5,56.1,-16.6,https://twitter.com/RepJimRenacci,,RepJimRenacci,202-225-3876,25907,,,,,,,,,,
Steve,Stivers,OH,15,M,,31800,301,Y,N,N,,39.9,55.3,-15.4,https://twitter.com/RepSteveStivers,,RepSteveStivers,202-225-2015,25907,,,,,,,,,,
Pat,Tiberi,OH,12,M,,30000,284,Y,N,N,,41.9,53.2,-11.3,https://twitter.com/PatTiberi,,PatTiberi,202-225-5355,25907,,,,,,,,,,
Brad,Wenstrup,OH,2,M,,34100,323,Y,N,N,,39.7,55.8,-16.1,https://twitter.com/RepBradWenstrup,,RepBradWenstrup,202-225-3164,25907,,,,,,,,3991,247300,
Jim,Bridenstine,OK,1,M,,78600,745,N,N,Y,,32.7,61.4,-28.7,https://twitter.com/repjbridenstine?,,repjbridenstine,202-225-2211,24819,,,,,,,,,,
Tom,Cole,OK,4,M,,72600,688,N,N,N,,28.3,65.7,-37.4,https://twitter.com/tomcoleok04,,tomcoleok04,202-225-6165,24819,,,,,,,,,,
Frank,Lucas,OK,3,M,,69100,655,N,N,N,,20.9,73.6,-52.7,https://twitter.com/repfranklucas,,repfranklucas,202-225-5565,24819,,,,,,,,,,
Markwayne,Mullin,OK,2,M,,83300,790,N,N,N,,22.8,72.9,-50.1,https://twitter.com/RepMullin,,RepMullin,202-225-2701,24819,,,,,,,,,,
Steve,Russell,OK,5,M,,90800,861,N,N,N,,39.8,53.2,-13.4,https://twitter.com/RepRussell,,RepRussell,202-225-2132,24819,,,,,,,,4056,320700,
Greg,Walden,OR,2,M,,67000,635,Y,N,N,,36.4,56.5,-20.1,https://twitter.com/repgregwalden,,repgregwalden,202-225-6730,23261,,,,,,,,,,
Lou,Barletta,PA,11,M,,40000,379,Y,N,N,,36.2,60.0,-23.8,https://twitter.com/RepLouBarletta,,RepLouBarletta,202-225-6511,24802,,,,,,,,2679,302400,
Mike,Kelly,PA,3,M,,39700,376,Y,N,N,,35.0,61.1,-26.1,https://twitter.com/mikekellypa,,mikekellypa,202-225-5406,24802,,,,,,,,,,
Tom,Marino,PA,10,M,,40100,380,Y,N,N,,30.2,66.1,-35.9,https://twitter.com/RepTomMarino,,RepTomMarino,202-225-3731,24802,,,,,,,,,,
Tim,Murphy,PA,18,M,,35900,340,Y,N,N,,38.5,58.1,-19.6,https://twitter.com/RepTimMurphy,,RepTimMurphy,202-225-2301,24802,,,,,,,,,,
Scott,Perry,PA,4,M,,41900,397,Y,N,Y,,37.1,58.6,-21.5,https://twitter.com/repscottperry,,repscottperry,202-225-5836,24802,,,,,,,,,,
Keith,Rothfus,PA,12,M,,35800,339,Y,N,N,,37.9,58.7,-20.8,https://twitter.com/KeithRothfus,,KeithRothfus,202-225-2065,24802,,,,,,,,3991,292600,
Bill,Shuster,PA,9,M,,40200,381,Y,N,N,,27.2,69.7,-42.5,https://twitter.com/RepBillShuster,,RepBillShuster,202-225-2431,24802,,,,,,,,4895,284400,
Lloyd,Smucker,PA,16,M,,45200,428,Y,Y,N,,44.2,51.0,-6.8,https://twitter.com/repsmucker,https://www.facebook.com/RepSmucker/,repsmucker,202-225-2411,24802,,,,,,,,,,
Glenn,Thompson,PA,5,M,,37200,353,Y,N,N,,33.5,62.3,-28.8,https://twitter.com/CongressmanGT,,CongressmanGT,202-225-5121,24802,,,,,,,,,,
Jeff,Duncan,SC,3,M,,61400,582,N,N,Y,,29.0,67.0,-38.0,https://twitter.com/repjeffduncan,,repjeffduncan,202-225-5301,25477,,,,,,,,,,
Trey,Gowdy,SC,4,M,,68200,646,N,N,N,,34.5,60.2,-25.7,https://twitter.com/TGowdySC,,TGowdySC,202-225-6030,25477,,,,,,,,8944,273800,
Tom,Rice,SC,7,M,,78300,742,N,N,N,,39.1,58.0,-18.9,https://twitter.com/RepTomRice,,RepTomRice,202-225-9895,25477,,,,,,,,,,
Mark,Sanford,SC,1,M,,60900,577,N,N,Y,,40.4,53.5,-13.1,https://twitter.com/RepSanfordSC,,RepSanfordSC,202-225-3176,25477,,,,,,,,,,
Joe,Wilson,SC,2,M,,52400,497,N,N,N,,38.6,56.3,-17.7,https://twitter.com/RepJoeWilson,,RepJoeWilson,202-225-2452,25477,,,,,,,,,,
Kristi,Noem,SD,1,F,,66100,627,N,N,N,,31.7,61.5,-29.8,https://twitter.com/RepKristiNoem,,RepKristiNoem,202-225-2801,23649,,,,,,,,,,
Diane,Black,TN,6,F,,69500,659,N,N,N,,23.7,72.6,-48.9,https://twitter.com/RepDianeBlack,,RepDianeBlack,202-225-4231,22940,,,,,,,,,,
Marsha,Blackburn,TN,7,F,,63000,597,N,N,N,,28.2,67.5,-39.3,https://twitter.com/MarshaBlackburn,,MarshaBlackburn,202-225-2811,22940,,,,,,,,,,
Scott,DesJarlais,TN,4,M,,67300,638,N,N,Y,,27.4,68.6,-41.2,https://twitter.com/DesJarlais,,DesJarlais,202-225-6831,22940,,,,,,,,3991,273000,
John J.,Duncan,TN,2,M,,64700,613,N,N,N,,29.7,65.1,-35.4,https://twitter.com/RepJohnDuncanJr?,,RepJohnDuncanJr,202-225-5435,22940,,,,,,,,,,
Chuck,Fleischmann,TN,3,M,,68300,647,N,N,N,,30.2,65.4,-35.2,https://twitter.com/RepChuck?,,RepChuck,202-225-3271,22940,,,,,,,,4088,299400,
David,Kustoff,TN,8,M,,59200,561,N,N,N,,30.7,66.3,-35.6,https://twitter.com/davidkustoff,,davidkustoff,202-225-4714,22940,,,,,,,,4056,310900,
Phil,Roe,TN,1,M,,74600,707,N,N,N,,19.7,76.7,-57.0,https://twitter.com/DrPhilRoe,,DrPhilRoe,202-225-6356,22940,,,,,,,,7700,275700,
Jodey,Arrington,TX,19,M,,57700,547,N,N,N,,23.5,72.5,-49,https://twitter.com/RepArrington,,RepArrington,202-225-4005,28381,,,,,,,,,,
Brian,Babin,TX,36,M,,61600,584,N,N,Y,,25.2,72.0,-46.8,https://twitter.com/RepBrianBabin,,RepBrianBabin,202-225-1555,28381,,,,,,,,,,
Joe,Barton,TX,6,M,,63500,602,N,N,Y,,41.9,54.2,-12.3,https://twitter.com/repjoebarton,,repjoebarton,202-225-2002,28381,,,,,,,,3636,315300,
Kevin,Brady,TX,8,M,,58600,555,N,N,N,,23.9,72.7,-48.8,https://twitter.com/RepKevinBrady,,RepKevinBrady,202-225-4901,28381,,,,,,,,4895,291100,
Michael,Burgess,TX,26,M,,51300,486,N,N,N,,34.4,60.9,-26.5,https://twitter.com/michaelcburgess,,michaelcburgess,202-225-7772,28381,,,,,,,,,,
John,Carter,TX,31,M,,48500,460,N,N,N,,40.8,53.5,-12.7,https://twitter.com/johnfcarter,,johnfcarter,202-225-3864,28381,,,,,,,,4088,297600,
K. Michael,Conaway,TX,11,M,,56000,531,N,N,N,,19.1,77.8,-58.7,https://twitter.com/conawaytx11?,,conawaytx11,202-225-3605,28381,,,,,,,,3636,280100,
John,Culberson,TX,7,M,,62800,595,N,Y,N,,48.5,47.1,1.4,https://twitter.com/congculberson,https://www.facebook.com/johnculberson,congculberson,202-225-2571,28381,,,,,,,,3284,281100,
Blake,Farenthold,TX,27,M,,61100,579,N,N,N,,36.5,60.1,-23.6,https://twitter.com/farenthold,,farenthold,202-225-7742,28381,,,,,,,,5218,298100,
Bill,Flores,TX,17,M,,58700,556,N,N,N,,38.8,56.3,-17.5,https://twitter.com/RepBillFlores,,RepBillFlores,202-225-6105,28381,,,,,,,,,,
Louie,Gohmert,TX,1,M,,62600,593,N,N,Y,,25.3,72.2,-46.9,https://twitter.com/replouiegohmert,,replouiegohmert,202-225-3035,28381,,,,,,,,,,
Kay,Granger,TX,12,F,,57900,549,N,N,N,,32.7,62.9,-30.2,https://twitter.com/RepKayGranger,,RepKayGranger,202-225-5071,28381,,,,,,,,,,
Jeb,Hensarling,TX,5,M,,71000,673,N,N,N,,34.3,62.7,-28.4,https://twitter.com/rephensarling,,rephensarling,202-225-3484,28381,,,,,,,,,,
Sam,Johnson,TX,3,M,,48600,461,N,N,N,,40.6,54.8,-14.2,https://twitter.com/samjohnsontx03,,samjohnsontx03,202-225-4201,28381,,,,,,,,,,
Kenny,Marchant,TX,24,M,,59800,567,N,N,N,,44.5,50.7,-6.2,https://twitter.com/RepKenMarchant,,RepKenMarchant,202-225-6605,28381,,,,,,,,,,
Michael,McCaul,TX,10,M,,60200,571,N,N,N,,43.2,52.3,-9.1,https://twitter.com/RepMcCaul,,RepMcCaul,202-225-2401,28381,,,,,,,,4056,304900,
Pete,Olson,TX,22,M,,52000,493,N,N,N,,44.2,52.1,-7.9,https://twitter.com/reppeteolson,,reppeteolson,202-225-5951,28381,,,,,,,,4056,298800,
Ted,Poe,TX,2,M,,58500,555,N,N,N,,43.1,52.4,-9.3,https://twitter.com/JudgeTedPoe,,JudgeTedPoe,202-225-6565,28381,,,,,,,,,,
John,Ratcliffe,TX,4,M,,60600,574,N,N,N,,21.8,75.4,-53.6,https://twitter.com/RepRatcliffe,,RepRatcliffe,202-225-6673,28381,,,,,,,,3991,273700,
Pete,Sessions,TX,32,M,,65600,622,N,Y,N,,48.5,46.6,1.9,https://twitter.com/PeteSessions,https://www.facebook.com/petesessions/,PeteSessions,202-225-2231,28381,,,,,,,,,,
Lamar,Smith,TX,21,M,,54000,512,N,N,N,,42.5,52.5,-10,https://twitter.com/LamarSmithTX21,,LamarSmithTX21,202-225-4236,28381,,,,,,,,,,
Mac,Thornberry,TX,13,M,,54900,520,N,N,N,,16.9,79.9,-63,https://twitter.com/MacTXPress,,MacTXPress,202-225-3706,28381,,,,,,,,,,
Randy,Weber,TX,14,M,,62400,591,N,N,Y,,38.4,58.2,-19.8,https://twitter.com/TexasStateRep29,,TexasStateRep29,202-225-2831,28381,,,,,,,,4056,338400,
Roger,Williams,TX,25,M,,49200,466,N,N,N,,40.2,55.1,-14.9,https://twitter.com/RepRWilliams,,RepRWilliams,202-225-9896,28381,,,,,,,,3284,274700,
Rob,Bishop,UT,1,M,,44600,423,N,N,N,,22.4,49.7,-27.3,https://twitter.com/reprobbishop,,reprobbishop,202-225-0453,21851,,,,,,,,,,
Jason,Chaffetz,UT,3,M,,50200,476,N,N,N,,23.3,47.2,-23.9,https://twitter.com/jasoninthehouse,,jasoninthehouse,202-225-7751,21851,,,,,,,,,,
Mia,Love,UT,4,F,,55300,524,N,Y,N,,32.4,39.1,-6.7,https://twitter.com/RepMiaLove,https://www.facebook.com/repmialove/,RepMiaLove,202-225-3011,21851,,,,,,,,4088,328200,
Chris,Stewart,UT,2,M,,54900,520,N,N,N,,32.0,46.0,-14.0,https://twitter.com/RepChrisStewart,,RepChrisStewart,202-225-9730,21851,,,,,,,,,,
Dave,Brat,VA,7,M,,49600,470,N,N,Y,,44.0,50.5,-6.5,https://twitter.com/RepDaveBrat,,RepDaveBrat,202-225-2815,24667,,,,,,,,,,
Tom,Garrett,VA,5,M,,56900,539,N,N,Y,,42.3,53.4,-11.1,https://twitter.com/rep_tom_garrett,,rep_tom_garrett,202-225-4711,24667,,,,,,,,,,
Robert,Goodlatte,VA,6,M,,55600,527,N,N,N,,34.9,59.7,-24.8,https://twitter.com/RepGoodlatte,,RepGoodlatte,202-225-5431,24667,,,,,,,,,,
Morgan,Griffith,VA,9,M,,61600,584,N,N,Y,,27.3,68.8,-41.5,https://twitter.com/RepMGriffith,,RepMGriffith,202-225-3861,24667,,,,,,,,4088,285700,
Scott,Taylor,VA,2,M,,45400,430,N,Y,N,,45.4,48.8,-3.4,https://twitter.com/scotttaylorva,https://www.facebook.com/scotttaylorvirginia/,scotttaylorva,202-225-4215,24667,,,,,,,,,,
Rob,Wittman,VA,1,M,,44600,423,N,N,N,,41.2,53.6,-12.4,https://twitter.com/RobWittman,,RobWittman,202-225-4261,24667,,,,,,,,,,
Cathy,McMorris Rodgers,WA,5,F,,36200,343,Y,N,N,,39.1,52.2,-13.1,https://twitter.com/cathymcmorris,,cathymcmorris,202-225-2006,25780,,,,,,,,,,
Sean P.,Duffy,WI,7,M,,56600,536,N,N,N,,37.3,57.8,-20.5,https://twitter.com/repseanduffy,,repseanduffy,202-225-3365,29727,,,,,,,,3991,293400,
Mike,Gallagher,WI,8,M,,50600,480,N,N,N,,38.6,56.2,-17.6,https://twitter.com/repgallagher,,repgallagher,202-225-5665,29727,,,,,,,,3991,298300,
Glenn,Grothman,WI,6,M,,44200,419,N,N,N,,38.8,55.7,-16.9,https://twitter.com/RepGrothman,,RepGrothman,202-225-2476,29727,,,,,,,,,,
Paul,Ryan,WI,1,M,,48900,464,N,N,N,,42.3,52.6,-10.3,https://twitter.com/SpeakerRyan,,SpeakerRyan,202-225-3031,29727,,,,,,,,3991,303100,
Jim,Sensenbrenner,WI,5,M,,40700,386,N,N,N,,37.3,57.4,-20.1,https://twitter.com/rpsensenbrenner,,rpsensenbrenner,202-225-5101,29727,,,,,,,,4088,284600,
Evan,Jenkins,WV,3,M,,43900,416,Y,N,N,,23.3,72.5,-49.2,https://twitter.com/repevanjenkins,,repevanjenkins,202-225-3452,27985,,,,,,,,4056,307000,
David,McKinley,WV,1,M,,38500,365,Y,N,N,,26.4,68.0,-41.6,https://twitter.com/RepMcKinley,,RepMcKinley,202-225-4172,27985,,,,,,,,,,
Alex,Mooney,WV,2,M,,40400,383,Y,N,Y,,29.4,65.8,-36.4,https://twitter.com/RepAlexMooney,,RepAlexMooney,202-225-2711,27985,,,,,,,,,,
Liz,Cheney,WY,1,F,,50300,477,N,N,N,,22.5,70.1,-47.6,https://twitter.com/Liz_Cheney,,Liz_Cheney,202-225-2311,28282,,,,,,,,,,
